date,region_group,일별_합계,산불발생여부
2016-07-17,강원,0,0
2016-07-18,강원,0,0
2016-07-19,강원,0,0
2016-07-20,강원,0,0
2016-07-21,강원,0,0
2016-07-22,강원,0,0
2016-07-23,강원,0,0
2016-07-24,강원,0,0
2016-07-25,강원,0,0
2016-07-26,강원,0,0
2016-07-27,강원,0,0
2016-07-28,강원,0,0
2016-07-29,강원,0,0
2016-07-30,강원,0,0
2016-07-31,강원,0,0
2016-08-01,강원,0,0
2016-08-02,강원,0,0
2016-08-03,강원,0,0
2016-08-04,강원,0,0
2016-08-05,강원,0,0
2016-08-06,강원,0,0
2016-08-07,강원,0,0
2016-08-08,강원,0,0
2016-08-09,강원,0,0
2016-08-10,강원,0,0
2016-08-11,강원,0,0
2016-08-12,강원,0,0
2016-08-13,강원,0,0
2016-08-14,강원,0,0
2016-08-15,강원,0,0
2016-08-16,강원,0,0
2016-08-17,강원,0,0
2016-08-18,강원,1,1
2016-08-19,강원,0,0
2016-08-20,강원,0,0
2016-08-21,강원,0,0
2016-08-22,강원,0,0
2016-08-23,강원,1,1
2016-08-24,강원,0,0
2016-08-25,강원,0,0
2016-08-26,강원,0,0
2016-08-27,강원,0,0
2016-08-28,강원,0,0
2016-08-29,강원,0,0
2016-08-30,강원,0,0
2016-08-31,강원,0,0
2016-09-01,강원,0,0
2016-09-02,강원,0,0
2016-09-03,강원,0,0
2016-09-04,강원,0,0
2016-09-05,강원,0,0
2016-09-06,강원,0,0
2016-09-07,강원,0,0
2016-09-08,강원,0,0
2016-09-09,강원,0,0
2016-09-10,강원,0,0
2016-09-11,강원,0,0
2016-09-12,강원,0,0
2016-09-13,강원,0,0
2016-09-14,강원,0,0
2016-09-15,강원,0,0
2016-09-16,강원,0,0
2016-09-17,강원,0,0
2016-09-18,강원,0,0
2016-09-19,강원,0,0
2016-09-20,강원,1,1
2016-09-21,강원,0,0
2016-09-22,강원,0,0
2016-09-23,강원,0,0
2016-09-24,강원,0,0
2016-09-25,강원,0,0
2016-09-26,강원,0,0
2016-09-27,강원,0,0
2016-09-28,강원,0,0
2016-09-29,강원,0,0
2016-09-30,강원,0,0
2016-10-01,강원,0,0
2016-10-02,강원,0,0
