damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
0.3,22,04,18:00:00,2021,입산자실화,산7,학당,청양,청양,충남,22,목요일,04,15:20:00,2021
0.1,22,04,14:30:00,2021,입산자실화,산34,도천,함양,서상,경남,22,목요일,04,13:45:00,2021
0.02,22,04,13:57:00,2021,쓰레기소각,산33,대위,철원,동송,강원,22,목요일,04,13:29:00,2021
0.1,22,04,03:00:00,2021,기타,산131-1,신흥,포항,북,경북,22,목요일,04,00:00:00,2021
0.03,21,04,15:45:00,2021,입산자실화,산32-1,송학,보령,주교,충남,21,수요일,04,14:48:00,2021
1,21,04,14:10:00,2021,기타,111-1외2필,유천,평창,대관령,강원,21,수요일,04,12:22:00,2021
0.1,27,03,13:10:00,2021,농산부산물소각,산101,소광,울진,금강송,경북,27,토요일,03,11:28:00,2021
0.03,26,03,22:30:00,2021,담뱃불실화,산59-1,갈담,용인,처인,경기,26,금요일,03,21:09:00,2021
0.01,26,03,20:40:00,2021,쓰레기소각,산28,서중,문경,산북,경북,26,금요일,03,19:44:00,2021
0.6,26,03,19:54:00,2021,기타,산38,칠전,영천,고경,경북,26,금요일,03,18:51:00,2021
0.01,26,03,21:00:00,2021,담뱃불실화,산14-2,봉명,용인,처인,경기,26,금요일,03,18:43:00,2021
0.33,26,03,18:30:00,2021,쓰레기소각,산21,송암,청양,목,충남,26,금요일,03,16:35:00,2021
0.1,26,03,15:10:00,2021,입산자실화,산39-1,내계,장성,삼계,전남,26,금요일,03,13:53:00,2021
1,26,03,16:24:00,2021,기타,산198,개명,거창,고제,경남,26,금요일,03,12:50:00,2021
0.1,25,03,23:40:00,2021,건축물화재비화,246-15,방도,광주,도척,경기,25,목요일,03,21:35:00,2021
0.1,25,03,14:40:00,2021,농산부산물소각,산1,주매,창녕,대합,경남,25,목요일,03,13:20:00,2021
0.1,25,03,12:30:00,2021,기타,산165-1,신대,익산,함라,전북,25,목요일,03,11:37:00,2021
2,24,03,19:30:00,2021,입산자실화,산47-5,대,부안,위도,전북,24,수요일,03,16:13:00,2021
0.01,23,03,19:40:00,2021,기타,산341,성안,중,,울산,23,화요일,03,18:14:00,2021
0.05,23,03,17:55:00,2021,입산자실화,산20-2,진목,포천,내촌,경기,23,화요일,03,17:10:00,2021
20,24,03,11:00:00,2021,입산자실화,산18,성산,홍천,화촌,강원,23,화요일,03,15:52:00,2021
0.2,23,03,17:30:00,2021,기타,산39-2,조암,영주,,경북,23,화요일,03,15:32:00,2021
4.4,23,03,18:55:00,2021,담뱃불실화,산40외1필지,온천,충주,수안보,충북,23,화요일,03,15:24:00,2021
0.1,23,03,16:30:00,2021,농산부산물소각,1014-1,굴암,무주,부남,전북,23,화요일,03,14:25:00,2021
0.03,23,03,15:24:00,2021,농산부산물소각,산55,도곡,밀양,상동,경남,23,화요일,03,14:01:00,2021
0.3,22,03,15:00:00,2021,쓰레기소각,산6-1,우로,문경,호계,경북,22,월요일,03,12:56:00,2021
0.04,21,03,21:20:00,2021,입산자실화,산21-1,장상,안산,상록,경기,21,일요일,03,19:42:00,2021
0.2,20,03,04:45:00,2021,건축물화재비화,144-1,율촌,여주,대신,경기,20,토요일,03,00:07:00,2021
0.7,19,03,18:18:00,2021,농산부산물소각,산13-1,금산,파주,탄현,경기,19,금요일,03,15:03:00,2021
0.03,19,03,15:17:00,2021,입산자실화,산87-1,양범,상주,이안,경북,19,금요일,03,14:39:00,2021
0.05,19,03,09:53:00,2021,기타,143-3,귀백,여주,흥천,경기,19,금요일,03,08:30:00,2021
0.1,18,03,22:00:00,2021,입산자실화,산1-1,강당,아산,송악,충남,18,목요일,03,19:10:00,2021
0.03,18,03,15:10:00,2021,농산부산물소각,산82,장구,완주,봉동,전북,18,목요일,03,14:41:00,2021
0.09,18,03,02:04:00,2021,입산자실화,산34-1,우면,서초,,서울,17,수요일,03,23:02:00,2021
0.2,17,03,16:00:00,2021,쓰레기소각,산68-1,가장,오산,,경기,17,수요일,03,12:00:00,2021
0.03,17,03,12:40:00,2021,농산부산물소각,767.0,내,옹진,영흥,인천,17,수요일,03,11:50:00,2021
0.13,16,03,17:00:00,2021,기타,산58-1외1,갈산,익산,성당,전북,16,화요일,03,15:23:00,2021
0.3,15,03,17:10:00,2021,기타,518-1,덕천,파주,파평,경기,15,월요일,03,15:50:00,2021
0.4,15,03,16:15:00,2021,농산부산물소각,산25-2,신남,화성,남양,경기,15,월요일,03,15:20:00,2021
0.01,14,03,18:21:00,2021,담뱃불실화,산98-1,오전,광주,남한산성,경기,14,일요일,03,17:56:00,2021
0.5,11,03,18:00:00,2021,농산부산물소각,산36외1필지,대야,영월,김삿갓,강원,11,목요일,03,14:40:00,2021
0.01,11,03,00:20:00,2021,입산자실화,산254-5,설옥,곡성,옥과,전남,10,수요일,03,18:55:00,2021
0.01,10,03,16:55:00,2021,농산부산물소각,산243,도선,통영,도산,경남,10,수요일,03,15:33:00,2021
0.5,10,03,13:15:00,2021,건축물화재비화,산216,갈월,포천,신북,경기,10,수요일,03,12:19:00,2021
0.05,09,03,15:46:00,2021,입산자실화,산4,두산,장수,장수,전북,09,화요일,03,15:19:00,2021
0.01,07,03,12:20:00,2021,담뱃불실화,20-78,월암,의왕,,경기,07,일요일,03,11:43:00,2021
0.02,28,02,14:56:00,2021,기타,산5,내광,울주,온양,울산,28,일요일,02,13:32:00,2021
0.05,28,02,09:50:00,2021,쓰레기소각,산24-6,아신,양평,옥천,경기,28,일요일,02,09:05:00,2021
0.1,27,02,16:40:00,2021,기타,산148-2,대자,고양,덕양,경기,27,토요일,02,15:58:00,2021
0.16,27,02,17:18:00,2021,담뱃불실화,산31-2,지월,광주,초월,경기,27,토요일,02,15:30:00,2021
0.1,27,02,18:00:00,2021,담뱃불실화,산8외2필지,목왕,양평,양서,경기,27,토요일,02,14:29:00,2021
0.03,27,02,15:50:00,2021,입산자실화,산2-35,용현,서산,운산,충남,27,토요일,02,14:00:00,2021
0.06,27,02,14:00:00,2021,쓰레기소각,산6-6,괴림,시흥,,경기,27,토요일,02,12:58:00,2021
0.1,27,02,13:30:00,2021,농산부산물소각,산4-5,종송,화성,송산,경기,27,토요일,02,12:30:00,2021
1.5,26,02,18:15:00,2021,입산자실화,산15-1,전동,연천,백학,경기,26,금요일,02,13:55:00,2021
0.1,26,02,16:00:00,2021,입산자실화,산20-1,전치곡,홍천,북방,강원,26,금요일,02,13:33:00,2021
0.17,26,02,14:27:00,2021,쓰레기소각,산432,동막,강화,화도,인천,26,금요일,02,13:12:00,2021
0.05,26,02,12:55:00,2021,입산자실화,산174-1,천,용인,처인,경기,26,금요일,02,12:04:00,2021
0.06,26,02,11:50:00,2021,쓰레기소각,430-1,송림,화성,남양,경기,26,금요일,02,10:41:00,2021
0.03,26,02,11:40:00,2021,담뱃불실화,산20,가채,포천,신북,경기,26,금요일,02,10:07:00,2021
0.03,25,02,15:00:00,2021,담뱃불실화,산40-1,대장,성남,분당,경기,25,목요일,02,13:45:00,2021
0.05,24,02,18:00:00,2021,입산자실화,산341,후암,고령,덕곡,경북,24,수요일,02,15:26:00,2021
0.03,24,02,17:20:00,2021,기타,산68-1외2필지,동원,공주,신풍,충남,24,수요일,02,15:20:00,2021
0.03,24,02,15:30:00,2021,입산자실화,산7-1,탑원,천안,동남,충남,24,수요일,02,14:30:00,2021
0.03,24,02,15:25:00,2021,입산자실화,산25-3,심거,아산,음봉,충남,24,수요일,02,14:20:00,2021
0.02,24,02,14:56:00,2021,기타,산18,마애,안동,풍산,경북,24,수요일,02,14:13:00,2021
0.01,24,02,08:30:00,2021,입산자실화,산6-9,심정,부평,,인천,24,수요일,02,07:00:00,2021
0.66,23,02,23:30:00,2021,건축물화재비화,162-17,오향,광주,곤지암,경기,23,화요일,02,19:24:00,2021
0.03,23,02,17:40:00,2021,기타,산114,금주,포천,영중,경기,23,화요일,02,16:23:00,2021
0.01,23,02,17:30:00,2021,담뱃불실화,산146-1,합강,곡성,옥과,전남,23,화요일,02,16:00:00,2021
0.01,23,02,15:00:00,2021,기타,산53-13,가능,의정부,,경기,23,화요일,02,14:19:00,2021
0.1,23,02,15:30:00,2021,입산자실화,산30,장생포,남,,울산,23,화요일,02,14:09:00,2021
